Datetime,Water Level (m)
2024-01-29 18:00:00,0.66199774
2024-01-29 19:00:00,0.3568777
2024-01-29 20:00:00,-0.11215398
2024-01-29 21:00:00,-0.6548209
2024-01-29 22:00:00,-1.1543671
2024-01-29 23:00:00,-1.4770209
2024-01-30 00:00:00,-1.4733016
2024-01-30 01:00:00,-1.1292907
2024-01-30 02:00:00,-0.6373337
2024-01-30 03:00:00,-0.14999132
2024-01-30 04:00:00,0.24310692
2024-01-30 05:00:00,0.47610083
2024-01-30 06:00:00,0.46918574
2024-01-30 07:00:00,0.22474699
2024-01-30 08:00:00,-0.14575557
2024-01-30 09:00:00,-0.5550455
2024-01-30 10:00:00,-0.9300609
2024-01-30 11:00:00,-1.2091937
2024-01-30 12:00:00,-1.278735
2024-01-30 13:00:00,-1.0535159
2024-01-30 14:00:00,-0.5981717
2024-01-30 15:00:00,-0.092751525
2024-01-30 16:00:00,0.34064084
2024-01-30 17:00:00,0.6459393
2024-01-30 18:00:00,0.69872093
2024-01-30 19:00:00,0.43588713
2024-01-30 20:00:00,-0.014109486
2024-01-30 21:00:00,-0.5012627
2024-01-30 22:00:00,-0.93745476
2024-01-30 23:00:00,-1.2617629
2024-01-31 00:00:00,-1.3950294
2024-01-31 01:00:00,-1.2549415
2024-01-31 02:00:00,-0.8920807
2024-01-31 03:00:00,-0.44548702
2024-01-31 04:00:00,-0.01971374
2024-01-31 05:00:00,0.31263644
2024-01-31 06:00:00,0.47355857
2024-01-31 07:00:00,0.3827062
2024-01-31 08:00:00,0.08983922
2024-01-31 09:00:00,-0.29114518
2024-01-31 10:00:00,-0.6728287
2024-01-31 11:00:00,-0.9844768
2024-01-31 12:00:00,-1.1544487
2024-01-31 13:00:00,-1.0780442
2024-01-31 14:00:00,-0.7650646
2024-01-31 15:00:00,-0.34479883
2024-01-31 16:00:00,0.07004166
2024-01-31 17:00:00,0.3944429
2024-01-31 18:00:00,0.54510224
2024-01-31 19:00:00,0.46155322
2024-01-31 20:00:00,0.17048603
2024-01-31 21:00:00,-0.25430116
2024-01-31 22:00:00,-0.7064008
2024-01-31 23:00:00,-1.0677098
2024-02-01 00:00:00,-1.2752675
2024-02-01 01:00:00,-1.2787116
2024-02-01 02:00:00,-1.0544214
2024-02-01 03:00:00,-0.68338007
2024-02-01 04:00:00,-0.27648968
2024-02-01 05:00:00,0.07271987
2024-02-01 06:00:00,0.30658275
2024-02-01 07:00:00,0.3785834
2024-02-01 08:00:00,0.2484213
2024-02-01 09:00:00,-0.045951054
2024-02-01 10:00:00,-0.40063965
2024-02-01 11:00:00,-0.71356404
2024-02-01 12:00:00,-0.9330887
2024-02-01 13:00:00,-0.99667877
2024-02-01 14:00:00,-0.86732817
2024-02-01 15:00:00,-0.57759887
2024-02-01 16:00:00,-0.21338488
2024-02-01 17:00:00,0.119109675
2024-02-01 18:00:00,0.33089066
2024-02-01 19:00:00,0.37435728
2024-02-01 20:00:00,0.22075377
2024-02-01 21:00:00,-0.09631117
2024-02-01 22:00:00,-0.49079645
2024-02-01 23:00:00,-0.8485493
2024-02-02 00:00:00,-1.0863205
2024-02-02 01:00:00,-1.1782116
2024-02-02 02:00:00,-1.1213853
2024-02-02 03:00:00,-0.8920007
2024-02-02 04:00:00,-0.54580045
2024-02-02 05:00:00,-0.2016379
2024-02-02 06:00:00,0.061840836
2024-02-02 07:00:00,0.23187861
2024-02-02 08:00:00,0.27461797
2024-02-02 09:00:00,0.14678204
2024-02-02 10:00:00,-0.12517801
2024-02-02 11:00:00,-0.4304061
2024-02-02 12:00:00,-0.6763907
2024-02-02 13:00:00,-0.82280016
2024-02-02 14:00:00,-0.82930464
2024-02-02 15:00:00,-0.6867397
2024-02-02 16:00:00,-0.44224194
2024-02-02 17:00:00,-0.15646048
2024-02-02 18:00:00,0.045304902
2024-02-02 19:00:00,0.14867385
2024-02-02 20:00:00,0.15549046
2024-02-02 21:00:00,0.006772354
2024-02-02 22:00:00,-0.28077543
2024-02-02 23:00:00,-0.5952539
2024-02-03 00:00:00,-0.83796656
2024-02-03 01:00:00,-1.0100083
2024-02-03 02:00:00,-1.1075726
2024-02-03 03:00:00,-1.0541396
2024-02-03 04:00:00,-0.8205599
2024-02-03 05:00:00,-0.5087563
2024-02-03 06:00:00,-0.22020477
2024-02-03 07:00:00,0.015681796
2024-02-03 08:00:00,0.1736739
2024-02-03 09:00:00,0.20543186
2024-02-03 10:00:00,0.088936314
2024-02-03 11:00:00,-0.13950148
2024-02-03 12:00:00,-0.3738195
2024-02-03 13:00:00,-0.5521778
2024-02-03 14:00:00,-0.6716519
2024-02-03 15:00:00,-0.7091752
2024-02-03 16:00:00,-0.626547
2024-02-03 17:00:00,-0.45582485
2024-02-03 18:00:00,-0.27460098
2024-02-03 19:00:00,-0.13972439
2024-02-03 20:00:00,-0.038881145
2024-02-03 21:00:00,-0.013377619
2024-02-03 22:00:00,-0.14195573
2024-02-03 23:00:00,-0.3662463
2024-02-04 00:00:00,-0.5814073
2024-02-04 01:00:00,-0.7779064
2024-02-04 02:00:00,-0.96194893
2024-02-04 03:00:00,-1.061944
2024-02-04 04:00:00,-0.9992598
2024-02-04 05:00:00,-0.79552215
2024-02-04 06:00:00,-0.55156696
2024-02-04 07:00:00,-0.30883542
2024-02-04 08:00:00,-0.06503582
2024-02-04 09:00:00,0.12721889
2024-02-04 10:00:00,0.197523
2024-02-04 11:00:00,0.123279564
2024-02-04 12:00:00,-0.0440992
2024-02-04 13:00:00,-0.2308372
2024-02-04 14:00:00,-0.41837332
2024-02-04 15:00:00,-0.5968837
2024-02-04 16:00:00,-0.69863766
2024-02-04 17:00:00,-0.6777205
2024-02-04 18:00:00,-0.5890771
